dialog,act,emotion
"['So Vicky , how long have you held your present position ? '
 ' I ’ Ve been a secretary for two years , before that I was at university . '
 ' And how do you like working for IBM ? '
 ' It ’ s challenging , I feel I have learned a lot . '
 ' What ’ s strength do you bring to the job ? '
 ' I get along well with people , and I enjoy working with others . '
 ' That ’ s good . We always need team players here . ']",[2 1 2 1 2 1 1],[0 0 0 0 0 0 0]
"['How are you doing , Christopher ? '
 "" To be honest , I'm really fed up with work at the moment . I need a break ! ""
 ' Are you doing anything this weekend ? '
 ' I have to work on Saturday all day ! I really hate my job ! '
 ' Are you available on Sunday ? '
 "" Yes , that's my only day off until Thursday . ""
 ' Ok , well , my friends and I are planning on going to the beach on Sunday . We tend to leave around noon whenever we go anywhere , so you could still sleep in . Do you want to come with us ? '
 "" That'd be fantastic ! Which beach are you going to ? ""
 "" It's a quiet beach just about an hour outside of the city . ""
 ' What should I bring with me ? '
 "" We've got plenty of inflatables , but if you want to sit on a chair , you'll have to bring your own sunlounger . ""
 ' I can just use my beach towel . I love lazing around in the sun . '
 ' Do you like surfing ? '
 "" I've actually never tried . Do you have a surfboard ? ""
 "" We've got a few . I can teach you how to surf on Sunday . It'll be fun ! ""
 "" I can't wait ! It sounds like we're going to have a great time . How much money should I bring ? ""
 "" You'll just need roughly $ 10 for food and gas money . My friend is driving , so we usually all chip in a few dollars for gas money . ""
 ' Ok , where and when should I meet you ? '
 "" We'll pick you up at your place at noon . Be there or be square ! ""]",[2 1 2 1 2 1 3 4 1 2 1 1 2 2 3 4 1 2 1],[0 0 0 1 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
"['Is anybody here ? ' ' Coming . What do you want today ? '
 ' Quite a lot . I need one pound of potatoes , three pints of milk , a dozen eggs and one pound of tomatoes . '
 ' Our fruit is very fresh today . Do you want some ? '
 ' How much are the lemons ? ' ' Three for ten cents . '
 ' Give me a dozen lemons . ' ' Anything else ? '
 ' No , thanks . How much in total ? ' ' Twenty eight dollars . ']",[2 2 1 2 2 1 3 2 2 1],[0 0 0 0 0 0 0 0 0 0]
"['Is it okay to have a day off next week ? '
 "" Why ? What's the problem ? "" ' I need to go to the dentist . '
 "" Okay , I'll get Bob to cover you . ""]",[3 2 3 4],[0 0 0 0]
"['Are you ready ? ' ' Ready for what ? ' ' Ready for the big switch . '
 ' What are you talking about ? '
 ' The nation is switching to digital TV . '
 "" Oh . Of course I'm ready . "" ' Did you buy the converter ? '
 "" No , I don't need a converter because I bought a digital TV . ""
 ' How much was that ? '
 ' It was only about $ 120 for a 13 - inch screen . '
 ' Does it pick up any digital channels ? '
 ' Oh , yes . I get six Korean channels but nothing in English ! ']",[2 2 1 2 1 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0 0 1]
"['You said you like classical music very much . Then who is your favorite opera star ? '
 ' There are three of them , the Three Tenors . '
 ' Oh , you mean Pavarotti , Domingo and Carreras . Have you been to their live shows ? '
 "" Yeah , it's really a unique experience . It's a solo concert by Pavarotti . He put on the performance in the Forbidden City in Beijing . ""
 "" I've heard of that one . It was also his swan song . ""
 "" Besides , speaking of classical music , we should never forget about the New Year's Concert . ""
 ' Of course not . People all over the world watch it on TV , or listen to it on the radio . '
 "" Sure . It's undoubtedly one of the biggest classical music events . Have you ever been to the live show ? ""
 "" Yes , I went to the New Year's Concert in 2005 . ""
 ' Wow , you are so lucky . I saw that one on TV . But it must be so different to be there in the concert hall . '
 "" That's for sure . You know , it's really amazing to be in the best concert hall , listening to the performance by the best orchestra . I had the greatest time ever . ""
 ' Who was the conductor at that event ? '
 ' Lorin Maazel . He did an amazing job . Moreover , he just celebrated his 75th birthday . '
 "" So cool . I wish I can go to the live New Year's Concert someday in the future . ""
 ' The right opportunity for you would come along soon . You know , music is transnational . '
 "" I believe in that . Well , the performance is about to begin . Let's be quiet . ""]",[2 1 2 1 2 1 1 2 1 1 1 2 1 1 1 1],[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
"['Excuse me . ' ' Yes ? ' ' Could I have one more blanket ? '
 "" I'm afraid there aren't any left at the moment . Gan you wait just a little while ? ""
 ' OK . I will . '
 "" I'll bring you one as soon as I find one available . ""
 ' Would you , please ? Thank you . ']",[3 2 3 3 4 1 1],[0 0 0 0 0 0 4]
"['Charlotte , have you had your supper ? '
 ' No , I don ’ t want to eat anything . ' "" Why ? Don't you feel well ? ""
 ' I ’ m down in spirits . ' "" What's up ? ""
 ' My manager jumped on me for my mistake today . '
 ' You must not feel depressed about such a trivial thing . '
 "" I think I'm too clumsy . I can do nothing well . ""
 "" You'd better shape up if you want to get the job done . ""
 ' But I doubt myself . '
 "" Cheer up ! Don't let me down . We all make mistakes , and that is life . ""]",[2 1 2 1 2 1 1 1 1 1 1],[0 5 0 5 0 5 0 5 0 5 4]
"[""I want to ask you for a favor . I want to rent an apartment here in Beijing , but as a foreigner , I don't know the normal practice . Can you give me some advice ? ""
 "" First , why don't you tell me what you need , such as how big a room , where you want to live , whether you want to live downtown , and what you like to do . Then I can figure out which apartment is most suitable for you . ""
 ' I am a student and want to live in Haitian , so that I can live close to my school . I like to play soccer and I like a quiet apartment so I can study . '
 ' I think that an apartment with two rooms and a kitchen would suit your needs . I can introduce you to a place for rent near your school . The apartment is on the 7th floor , so it is very quiet and suitable for studying . '
 ' That sounds great ! '
 "" You can also go to the school's sports field to play soccer , and if you're lucky you might make some Chinese friends there . It is right near the market and has comfortable facilities . ""
 "" Thank you so much . That's very kind of you . ""]",[3 4 1 1 1 3 4],[0 0 0 0 4 0 4]
"['Can I help you ? ' "" I'd like to buy a tie to match this suit . ""
 ' We have various colors . How about this one ? '
 ' Well , the color is all right . But it looks outdated.Can you show me that one ? '
 "" You have a very good taste . It's our best seller . "" ' Really ? '
 ' Sure ! Look , it suits you well . ']",[2 3 3 3 4 2 1],[0 0 0 0 4 6 6]
"['Can I help you ? '
 ' Yes , I ’ m doing some research on Roman civilization . Do you have any books on the subject ? '
 ' These books over here are about ancient history . They might be helpful . '
 ' Can I check this one out ? '
 ' I ’ m sorry . It ’ s for reference only , so it must stay in the library . But you ’ re welcome to look through it . '
 ' Ok . And I ’ d like to check these books out . '
 ' All right . They ’ re due back next Wednesday . '
 ' Thanks for your help . ']",[2 3 4 3 4 3 4 1],[0 0 0 0 0 0 0 4]
"['My wife is sick , so I have to cancel a reservation I made . '
 "" If you'll just give me your name , phone , and date of visit , I can cancel your reservation . ""
 "" I'm Rudy Randolph at 818-555-1234 , April ninth to the fifteenth . ""
 ' Mr . Randolph . Okay , one second , sir , and there you go . Your reservation is now cancelled . '
 ' I wish everything in life was so simple . Thank you . '
 ' Not a problem , sir . Please remember us in the future . ']",[3 3 1 1 1 1],[0 0 0 0 3 3]
"['Dick , I ’ Ve decided not to rent that house . '
 ' But yesterday you said you would rent it . '
 ' I ’ Ve changed my mind . ' ' Why is that ? '
 ' Well , I think maybe I should find a house that is closer to where I work . '
 ' Maybe you ’ re right . ']",[1 1 1 2 1 1],[0 6 0 0 0 0]
"[""There's someone coming . ""
 ' It took them four minutes to get here . That was pretty fast . '
 "" Yes , it's fast . But four minutes is enough to do fifty thousand dollars damage . ""
 "" I guess the fire wasn't in the tool shed after all.It looks like the back of the house was burning . ""
 ' I wonder if anyone can call the Ridleys about this . Do you know them well ? '
 ' Not really . ' "" Do you know where they're vacationing ? ""
 "" I think they went to Mexico , but I'm not sure.It ' s a bad thing to return home to.They ' ll come home from their trip , and they'll see half their house burned . ""
 "" Yes , but at least this way no one gets hurt.It ' s better to have a fire in your house when you're not home . Don't you think ? ""
 "" Yes , I suppose . It's a dangerous thing if a fire starts when people are sleeping . ""]",[1 1 1 1 2 1 2 1 2 1],[0 0 0 0 0 0 0 0 0 0]
"['How are the children doing at sport ? '
 ' I ’ m very pleased with their performances . Timmy can cover the 100 meters in 12 seconds . That ’ s very fast for a kid his age . '
 ' He ’ s not very good at the long jump though , is he ? '
 ' He ’ s not bad . He can jump a distance of over four meters . I think he just prefers running to jumping . Jimmy ’ s very good at the high jump . He can jump over two meters . Again , that ’ s fine for someone hi '
 ' Two meters ? That means that the high jump bar is above his head ! Are any of them good at long-distance running ? '
 ' The longest race we run is the 1500 meters . A few of the boys and one girls can do it in less than five minutes . '
 ' How are they at swimming ? '
 ' They ’ re ok . I ask them to swim 500 meters each day . That ’ s 20 lengths of the swimming pool . They ’ re not very fast , but that ’ s ok . I just want them to build their strength up and keep in shape . '
 ' Kate is very good at diving from a height of 10 meters . '
 ' I ’ d be afraid to jump from that height ! '
 ' I think that these kinds haven ’ t learnt to be afraid yet . She started diving from a lower height , but she soon wanted to go higher . '
 ' It seems that they really enjoy to go faster , higher and further . ']",[2 1 2 1 2 1 2 1 1 1 1 1],[0 0 0 0 6 0 0 0 0 0 0 0]
"['On balance , dress designing appeals to me most . '
 "" Yes , it's to my liking , too . ""
 ' Say , how would you like to be a dress designer ? ' "" It's my dream . ""]",[1 1 2 1],[4 4 0 4]
"['Oh , George , what a beautiful day it is today ! The sun is hot and there are just a few clouds scattered here and there ! What a perfect day to be at the beach ! The kids are going to have so much fun ! And we ’ ll be able to relax in the sun while they ’ re playing . '
 ' It does seem like the perfect day ! I ’ m glad we chose to get out of the city and enjoy the nice weather ! This looks like the perfect spot ! Ok kids , put on your sunscreen while your mom and I set up camp . Here , Mary , help me lay down these beach towels . '
 ' There we go . Can you help me with the umbrella ? Perfect . '
 ' Ok kids , here ’ sa beach ball and a Frisbee , a pail and a shovel . I want to see an impressive sandcastle by the time we leave . Don ’ t stray too far . Wait ! Leave your sandals here or put on your wet shoes . '
 ' And stay in the shallow area . I don ’ t want to see you go any farther than that sandbar ! It ’ s too deep out there and we didn ’ t bring your floatier . '
 ' You ’ re back already ? The water was too cold , huh ? I ’ ll tell you a secret . Do you see that small pool of water over there ? It ’ ll be warmer in there . Go see if you can find some seashells or catch some minnows . '
 ' What is that ? A jellyfish ? Jeremy , put that down right now ! It could sting you ! '
 ' Ah ! Not on me ! Ow ! ']",[1 1 2 1 1 2 2 1],[4 4 4 4 4 0 0 0]
"[""Ouch ! I'm hurt . "" ' Are you all right ? '
 "" Yes . I'm OK . I just had a tumble . No big deal . ""
 ' Good . You scared me . '
 ' Sorry . Can you please help me up ! I have trouble standing up by myself with the skis on . '
 ' Sure . Is this your first time skiing ? '
 ' Yes . I tried skiing on grass before . Not very good at it , though . ']",[1 2 1 1 3 2 1],[1 0 0 4 0 0 0]
"['Hello , Mr . Brown , long time no see . Where have you been ? '
 ' Oh , I went on a holiday in the city of Chende . '
 ' Great . What do you think of it ? '
 ' The city is small , not very modern , but there are many mountains with lots of trees around the city , so the air there is pretty fresh . '
 ' Did you go to the Summer Mountain Resort ? '
 "" Certainly ! The most attractive place is that , it's very large ; it is 8 times the size of Forbidden City and 16 times the size of Summer Palace . The art of gardens is perfectly represented in it . ""
 ' It sounds great , and is it really cool there ? '
 ' Yes , I think the reason is that there is a big lake , and many trees in the Resort . '
 ' What is the special local product ? '
 ' The main product of Chende is various kinds of ferine mushroom and the almond . The mushroom tastes really good , and it is very different from the common mushrooms , and the snack made of almond is delicious . '
 ' I hope to go there someday . ']",[2 1 2 1 2 1 2 1 2 1 1],[4 4 4 4 4 4 4 4 4 4 4]
"['Man , I ’ m freaking out ! You gotta help me ! '
 ' Whoa , whoa , take it easy , relax . Geez , you ’ re sweating like a pig ! What ’ s going on ? '
 ' I can ’ t go through with this ! I just can ’ t ! I ’ m not ready for marriage ! What was I thinking ? I ’ m only thirty five years old ! I ’ Ve got my entire life ahead of me , adventures waiting ! I can ’ t settle down yet ! '
 ' What are you talking about ? It wasn ’ t more than a month ago that you were rambling on about how you are tired of living the life of a bachelor and how you envy your friends that have a family ! '
 ' I know . I know ! '
 ' Let ’ s think this through . First of all , you cannot leave Amy at the altar . Not only will she be humiliated and kill you , but she is the woman that you love and the woman of your dreams ! Why would you want to end that or jeopardize it like this ? Second of all , you are just getting cold feet . You know deep down inside that you want to marry her , so cut the crap and do it ! '
 ' You ’ re right . I ’ m being crazy ! Ok , I ’ m ready , let ’ s do this ! '
 ' Great ! Phew ! That was a close one ! You had me going there for a minute I thought I was gonna have to slap some sense into you . ']",[1 2 2 2 1 1 1 1],[0 0 0 0 0 0 4 4]
"[""I have a complaint to make . I've just been badly treated by a rude maid . ""
 ' Well , we are sorry to hear that.May I have your name and room number ? We will deal with the matter right now . '
 ' Ted.room 2012 . '
 "" Mr . Ted , I have to apologize for that and I assure you it won't happy again . ""]",[3 3 4 1],[1 0 0 0]
"['Would you like to play golf with me ? '
 "" I would like to . but I'm not good at it . ""
 "" It doesn't matter . I will teach you . ""
 "" That's great ! When will we go ? "" ' Borrow morning . '
 ' All right . What should I take ? '
 ' Just take your golf club . I will pick you up Borrow . '
 ' Thanks . I will wait you at my home . ' ' See you Borrow . ']",[3 4 3 2 1 2 1 4 1],[0 0 4 4 4 4 4 4 4]
"[""Before we begin eating , I'd like to present everyone with a gift from Taiwan . ""
 ' What is it ? ' "" It's a Taiwanese puppet doll . "" "" It's huge ! ""
 "" Yeah . They're usually this big . ""
 ' The craftsmanship is excellent . ' ' All the parts work . '
 ' Thank you so much . ' "" Don't mention it . ""]",[3 2 1 1 1 1 1 1 1],[0 0 0 6 0 4 0 4 0]
"['Dalian is a beautiful city . Do you agree ? ' ' I suppose I do . '
 ' The climate here is pleasant . ' ' They use said it '
 ' This city is really comfortable to living . ' ' It sure is '
 "" No other city can match it . It's heaven . ""
 ' Well , if you live in other as long enough you love them just as much . '
 ' Maybe . ' "" That's for sure . ""]",[2 1 1 1 1 1 1 1 1 1],[4 0 4 0 4 0 4 0 0 0]
"['You are not being a good sport about this . '
 "" That's because you cheated . "" ' I never cheat . ' ' Yes , you do . ']",[1 1 1 1],[0 0 0 0]
"[""Hey , there's Leo . I wonder why he's walking arm in arm with that young woman . ""
 "" It's as plain as the nose on your face . They're dating each other . ""
 "" You're pulling my leg ! She must be thirty years younger than Leo . Talk about robbing the cradle ! ""
 "" Well , you can bet this relationship's going to be a flash in the pan . ""
 "" It must have been love at first sight because I know he didn't have a girlfriend last week . ""
 ' I think you are absolutely right . Actually , my father proposed to my mother after knowing her only two weeks . They got married a month later . ']",[1 1 1 1 1 1],[0 0 0 0 0 0]
"['Sometimes I think television is too biased . None of them are completely objective . '
 "" That's unavoidable , but think , How would you keep up to date without television ? ""
 ' Newspapers or the radio I guess . I just wish TV was more objective . '
 "" Look , you can still learn a lot from watching television , you just need to be smart when you're watching . Filter the information and decide if you believe what you are hearing or not . ""
 "" The internet's a lot worse . "" ' Really ? Why ? '
 "" There's no one moderating it . Anyone around the world can put information onto the net for anyone else to see . The information on the internet is mostly unsubstantiated and you can never know who has written it , or why . A lot of people get conned online . ""
 "" Again , you need to think carefully . If you don't trust others online , have nothing to do with them . ""]",[1 2 1 1 1 2 1 1],[0 0 0 0 2 6 2 0]
"['Good morning , Doctor ! '
 ' Good morning , Miss Mandy . How are you today ? '
 "" I am not feeling very well . I've got a bad cold . ""
 ' Have you got a sore throat , too ? ' "" No , but I've got a headache . ""
 ' Yes , I see . Go home to bed and take one of these pills every three hours . '
 ' Thank you very much . ']",[1 2 1 2 1 3 4],[0 0 0 0 0 0 0]
"['Come on in . I am so glad you are here . We have been expecting you . '
 ' Am I late for the party ? Looks everyone is already here . Hope I didn ’ t miss something interesting . '
 ' No , you are just on time . We haven ’ t really started yet . '
 ' Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . '
 ' Thank you , they ’ re beautiful . You can hang your coat over there . Try this new couch , it is so comfortable . You will love it . Want something to drink , tea , coffee , juice or Cola ? '
 ' Don ’ t bother . I will help myself . ' ' Make yourself at home . '
 ' It is such a nice place . '
 ' Well , I don ’ t mean to boast but all the designs are done by myself and some colleagues are already trying to copy some of them for their new apartments . Look , they are making photos now of my designed kitchen . ']",[1 2 1 3 2 1 3 4 1],[4 0 0 4 4 0 0 4 4]
"['When she told me that she would marry no man but Dick , my heart was almost in my mouth . '
 ' You were scared , too ? I dared not tell you my feeling when I heard that . I almost got fainted . '
 ' I could not and can ’ t make out the reason why she would set her heart on a man like Dick . He plays the field with many girls . '
 ' But Sarah says she does not care , so long as he loves her . ']",[1 2 1 1],[6 6 6 0]
"['How about a movie on Sunday , Mum ? '
 "" Well , I'm afraid your father's not interested in modern films . ""
 ' We could find a classical one . ' ' That sounds fine . ']",[3 4 3 4],[4 0 4 4]
"['But you should be considerate to the kids , it ’ s their nature to play . '
 ' What I cannot put up with is that they may even give me a back talk . '
 ' Of course , it ’ s not polite of them , but sometimes you should put things the other way round and try to understand them . ']",[3 4 3],[0 0 0]
"['Hello . City News . Can I help you ? '
 ' Hello . My name is Jessica Smith . I ’ d like to cancel the newspaper . '
 ' Okay . What ’ s your account number ? ' ' 8902365 . '
 ' And your address , please ? ' ' 845 lincoln Avenue . '
 ' When do you want it cancelled ? '
 ' Beginning the first day of next month . ' ' Okay . ']",[2 3 2 1 2 1 2 1 4],[0 0 0 0 0 0 0 0 0]
"[""I heard that you're going on your first date Friday night . ""
 ' Are you angry , Lisa ? ' ' Angry ? Why would I be ? '
 "" Please don't tell my mom . ""
 "" Come on . Dating is a part of young people's social life . Besides , you're sixteen already . ""
 "" I'm glad that you see it that way . ""
 ' Do you want to borrow my coat ? I have a black coat that would look smashing on you . '
 ' Thank you so much , Lisa ! ']",[1 2 2 1 1 1 3 4],[0 0 6 0 4 4 4 4]
"['Hello , this is Rich . ' ' Hi , Rich . Is Jim here ? '
 ' He ’ s not in at the moment . Can I take a message ? '
 ' Sure . This is Claire . ' ' Does have your telephone number ? '
 ' No , it ’ s 3725019281 . ' ' 3725015281 ? '
 ' No , it ’ s 3725019281 , it ’ s a 9 , not a 5 . '
 ' Right . I ’ ll have him call you back . '
 ' Can you tell him that it ’ s urgent ? ' ' Sure can . '
 ' Thanks a lot . ' ' No problem . ' ' Bye . ' ' Goodbye . ']",[1 2 3 4 2 1 2 1 3 3 4 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 4 4 4 4 4]
"['The band is pretty good . How do you like the music ? '
 "" It's very nice . I haven't heard live music in a while . This is fun . ""
 ' Well , then , may I invite you for the next dance ? '
 "" Of course . But I'm afraid I'm not much of a dancer ... ""
 "" Don't worry . I'm not much of a dancer myself . ""
 "" You're dancing so well . "" ' You dance beautifully too . '
 ' When did you learn to dance ? '
 "" In college . But I don't dance very often . What's your favourite dance ? ""
 "" It's hard to say . It depends . But I love the waltz . ""
 ' How about tango ? '
 "" Oh , I like it . It's such a beautiful dance , but I can't do it well . What about you ? ""
 ' Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ) '
 ' Thank you for the dance . '
 "" My pleasure . Let's go and have a drink . "" ' OK . ']",[2 1 3 4 1 1 1 2 2 1 2 2 1 1 1 1],[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
"['How was Mei ’ s party on Saturday ? '
 ' Oh I didn ’ t go . I stayed at home with my family . '
 ' Oh really ? What did you do ? '
 ' We watched lots of television and films . ' ' I see . Anything else ? '
 ' Yes , we ate a delicious meal and drank some very good wine . '
 ' Well , it sounds like you really enjoyed yourself . ']",[2 1 2 1 2 1 1],[0 0 6 0 0 4 4]
"[""I've been told that you are a very successful businessman abroad . I wonder how you managed to achieve such success ? ""
 ' Oh , through a lot of hard work , of course . '
 "" I suppose that in a foreign country it was difficult at first , wasn't it ? ""
 ' Surely it was , especially when you only knew few people and little English . '
 ' You mean you didn ’ t know much English then ? '
 ' Right . I only knew a few English sentences . '
 "" That's incredible . Could you tell me what you did to make a start ? ""
 ' First , I worked as a servant . '
 ' Really ? I wish you could tell me more about your experience . '
 "" I'd like to , but I must run to a meeting . ""]",[2 1 2 1 2 1 2 1 2 1],[0 0 0 0 0 0 6 0 6 0]
"['I just got a letter from an old high school buddy . '
 "" Really ? That's nice . "" ' He usually keeps me posted . '
 "" I've been completely out of touch with my old friends . ""
 "" It's hard to keep up contact when people move around so much . ""
 ' Yes , people just seem to drift apart . ']",[1 2 1 1 1 1],[4 6 4 0 0 0]
"['Hello . Dr . Brown ’ s Dental Office . How can I help you ? '
 ' Hi , this is Susan Smith . I ’ m calling about my appointment with Doctor Brown today at 3 '
 ' What happened ? '
 ' I got the flu . I have a fever and a headache . Can I cancel my appointment ? '
 ' Sure , you can , but you ’ ll be charged for $ 10 . '
 ' Oh , there ’ s a charge ? Why ? '
 ' This is for the delayed cancellation . Because this time is reserved for you . If you are unable to keep an appointment , you should notify us 48 hours in advance . Otherwise , the charge will be made . '
 ' I see . That ’ s ok . I ’ ll pay . '
 ' Thanks for your understanding . Do you want to make another appointment ? '
 ' No . Not right now . When I feel better I ’ ll call you again . '
 ' Ok . Take care . ' ' Thank you . ']",[2 1 2 3 4 2 1 1 2 1 3 4],[0 0 0 0 0 6 0 0 4 0 0 4]
"[""Good morning . My name is John Smith . I'm an import manager . ""
 ' How do you do , Mr . Smith ? My name is Thou Hong . '
 "" Nice to meet You , Ms . Thou . We've learned that you specialize in the export of electronic products . ""
 ' Will you please take a seat ? Mr . Smith , have you seen the display of our electronic products in the exhibition hall downstairs ? '
 ' Yes . I had a look just now . I found some of the exhibits of excellent quality and beautiful design . I feel we '
 "" Sure we can . You know , we've been in this line for more than twenty years . ""
 "" So , Ms . Thou , we're a newly-established company , but we have wide connections with wholesalers and retailers all over America . ""
 ' Good . We can hold more talks later on to iron out the details . '
 ' Sure . ']",[1 1 1 2 3 4 1 3 4],[0 0 0 0 0 0 0 0 0]
"['Come to think of it , there is one rule in this house , Mary . '
 ' What is it ? '
 "" When you go out with friends , I don't want you to stay out too late . ""
 ' Okay . ' "" We maintain a curfew for Cindy because she's just 16 . ""
 ' How late can we stay out ? ' ' You can stay out till 10 p . m . '
 "" But if we're going to be late ? "" ' Then you call me or Tom first . ']",[1 2 3 4 1 2 1 2 1],[0 0 0 0 0 0 0 0 0]
"['Is there anything I can do for you , Mr . King ? '
 "" I'm leaving for Shanghai tomorrow morning . When do I have to settle my bill ? ""
 ' Is it all right for you to pay the bill this evening ? '
 ' That will do . Where shall I go to pay the money ? '
 "" At the Cashier's Counter of our hotel , right in the lobby downstairs . ""
 ' Would you please get the bill ready before supper ? '
 ' All right . Is your companion leaving for Shanghai with you ? '
 ' No , he will stay here for two more days . Please keep the room for him . '
 ' Shall I make out a single bill or two separate bills ? '
 ' Two separate bills , please . '
 "" OK . I'll surely have the bill ready for this evening . ""
 "" Will you give the bill to me at around six o'clock ? ""
 ' No problem . By the way , do you have any comment to make on our hotel ? '
 "" I have had a good stay here . Your service is wonderful . I'm very satisfied with it . ""
 "" Thank you for your compliments . You're welcome to our hotel again . ""
 ' OK , I will . ']",[2 2 2 2 1 3 2 3 2 3 4 3 2 1 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4]
"['The total for all these items comes to $ 36.78 . ' ' Take my VISA . '
 ' There is something wrong with your card . ' ' What ’ s going on ? '
 ' Your card was declined . ' ' That can ’ t be right ! '
 ' Would you like me to try another card ? '
 ' I don ’ t have another one . ' ' What about cash ? '
 ' I didn ’ t bring cash with me today . '
 ' I ’ m sorry , but you can ’ t take the items until you can buy them . '
 ' I ’ ll come back for them tomorrow . ']",[1 3 1 2 1 1 3 4 3 4 1 1],[0 0 0 0 0 6 0 0 0 0 0 0]
"['How have you been ? ' ' Fine , thank you . '
 "" And how's everyone in your family ? ""
 "" Very well , thank you . I'm meeting my wife and daughter for lunch at twelve.Would you care to join us ? ""
 "" I'd love to , but I'm afraid I can't . ""]",[2 1 2 3 4],[0 0 0 0 5]
"['Jenny , are you having fun here ? '
 ' Yes , of course . This is really a nice party with wonderful people and lovely wines . '
 ' I ’ m glad you ’ re enjoying it . ' ' Thank you for the invitation . '
 ' It ’ s my pleasure . Would you like another glass of champagne ? '
 ' Yes , please . Thank you for everything . ']",[2 1 1 1 3 4],[4 4 4 4 4 4]
"[""I'd like to reserve two seats for tomorrow night . ""
 ' Would you like orchestra seats ? '
 "" Isn't there anything less expensive ? ""
 ' Not unless you want the matinee . ']",[3 2 2 4],[0 0 0 0]
"['I visited the famous variety show host , Dennis . ' "" What's he like ? ""
 "" Oh , he's a very serious person . ""
 ' You must feel very uneasy at his home . ']",[1 2 1 1],[0 0 0 0]
"['Hello . I would like to buy some business cards . '
 ' Excellent . How many would you like ? '
 ' Two thousand would be fine . '
 ' You need to fill out this form , please . '
 ' All I want is the same thing on this card . '
 ' That will be no problem , sir . '
 "" ... Okay , I'm finished . Here's your form and my old card . ""
 ' Very good , sir . Your order will be ready in one week . '
 ' Do you think you could finish it in three days ? '
 ' No problem , sir . But it will cost you extra . ']",[3 2 1 3 3 4 4 1 2 1],[0 4 0 0 0 4 0 4 0 4]
"['Jim , I heard you took a trip to San Diego . Is that right ? '
 ' Yeah , I just got back this morning . '
 ' That sounds really nice . What did you do there ? '
 "" Well , we were only there for three days , so we didn't do too much . We went shopping and went out to dinner a few times . And at night we walked around the city with some friends . ""
 ' Did you take any pictures ? '
 ' Yes , I have them with me . Do you want to look at them ? '
 ' Sure , I love looking at photos . '
 ' This one is of my wife and me on the beach , and this one is our daughter Emily standing next to my wife . '
 ' Your daughter looks like her mother . '
 ' I know , they look very similar . ' ' Where was this picture taken ? '
 ' That was taken at the train station before we left . '
 ' Did you have time to go to the zoo ? '
 ' No , not this time . We went there last time . '
 ' It looks like you all had a nice time . '
 ' Yeah , it was a lot of fun . ']",[2 1 2 1 2 2 1 1 1 1 2 1 2 1 1 1],[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
"['John , I ’ Ve asked you not to smoke in here ! I don ’ t want to see you smoking in my office again . '
 ' I ’ m sorry , Ms . Fairbanks . I won ’ t let it happen again . '
 ' That ’ s what you said the last time ! If you want to smoke , you ’ ll have to use your break time and go outside ! '
 ' I understand , Ms . Fairbanks . ']",[3 4 3 4],[1 5 1 0]
"['I need help preparing for my presentation on Friday . '
 ' I could help you with that . ' ' Are you sure you have the time ? '
 "" I promise you that I have the time to do this . If I didn't , I wouldn't offer to help . ""
 ' What would be the best time for you to help me ? '
 ' Tomorrow night would work for me . ' ' Should we just meet here ? '
 "" OK , and I'll bring some information that helped me with my presentation . ""
 "" I'll see you then . "" ' See you tomorrow night . ']",[3 4 2 1 2 1 3 4 1 1],[0 0 0 0 0 0 0 0 0 0]
"['Can I help you , madam ? ' "" Yes , I'm looking for a cap.Size 16 . ""
 ' Would you like to try this one on ? '
 "" Yes.It ' s a bit tight.Have you got a bigger one ? ""
 ' All right.How about this one ? '
 "" Yes , that's fine . I'll take it.Can I pay by check ? ""
 ' Of course , madam . ']",[2 3 3 2 3 3 4],[0 0 0 0 0 0 0]
"['do you like music ? ' ' well , it depends . '
 ' do you think this music is warm matched ? ' ' of course yes . '
 ' how about the lyrics ? ' ' very touching . '
 ' it bring me back to some of my childhood memories . '
 ' yes , it is so . i love songs that take me to some places i have not been or have been for a long time . it is fun and exciting . '
 ' of course.it is really fantastic too , and it makes me eager to dance . '
 ' it is full of energy . '
 ' this song is really worthy listening to and enjoying . '
 ' it certainly is . ']",[2 1 2 1 2 1 1 1 1 1 1 1],[0 0 0 0 0 0 0 4 4 4 4 4]
